id,name,lat,lon,elev_m,dem_elev_m,prominence_m,range_km,visible_land_km2,visible_pct_of_island
p001,Gombaniya,7.454268,80.750947,1893.0,1893.0,1412.3,181.6,15407.0,23.38
p000,Pidurutalagala,7.000939,80.773509,2520.7,2520.7,2520.7,208.8,10751.7,16.32
p008,Peak 1206 m,7.605874,80.577741,1206.4,1206.4,745.7,146.1,9887.3,15.0
p003,Namunukula,6.932724,81.113143,2033.3,2033.3,1022.6,188.0,9497.8,14.41
p022,Ritigala,8.109406,80.656719,756.3,756.3,585.6,116.7,8082.4,12.27
p010,Sri Paadaya Peak,6.809596,80.499376,2190.0,2190.0,689.3,195.0,7931.0,12.04
p020,Peak 880 m,7.774383,80.710672,880.3,880.3,599.6,125.5,7119.1,10.8
p025,Kirigalpotta,6.799094,80.766454,2380.4,2380.4,549.7,203.0,7041.2,10.69
p009,Brandigala,7.490036,80.581328,1247.5,1247.5,736.8,148.4,6967.8,10.57
p034,Nayabedde Peak,6.804461,81.017244,1952.7,1952.7,522.0,184.4,6525.9,9.9
p011,Peak 1511 m,7.019761,81.173758,1510.7,1510.7,670.0,162.8,5885.1,8.93
p032,Peak 868 m,7.748866,80.641863,868.2,868.2,527.5,124.7,5819.6,8.83
p004,Peak 1109 m,6.877652,81.387812,1109.3,1109.3,928.6,140.3,5432.2,8.24
p030,Peak 532 m,7.859681,81.144861,532.1,532.1,532.1,98.8,4887.9,7.42
p005,Kabaragala,7.07031,80.502483,1508.1,1508.1,847.4,162.7,4712.1,7.15
p028,Peak 1305 m,7.04501,80.402566,1304.9,1304.9,544.2,151.7,4485.1,6.81
p014,Udaperuwahela,7.263927,81.407065,865.0,865.0,654.3,124.5,4188.5,6.36
p019,Peak 786 m,7.432147,80.41475,786.0,786.0,605.3,118.9,3960.6,6.01
p042,Alagalla,7.296816,80.470558,1006.8,1006.8,486.1,133.9,3841.2,5.83
p033,Peak 677 m,7.48616,81.102679,677.2,677.2,526.5,110.8,3829.1,5.81
p037,Peak 2049 m,6.769509,80.659524,2048.6,2048.6,497.9,188.7,3775.8,5.73
p017,Peak 863 m,7.311035,81.263401,862.6,862.6,611.9,124.3,3758.1,5.7
p024,Peak 677 m,7.380997,81.48712,676.8,676.8,556.1,110.7,3630.5,5.51
p007,Peak 1522 m,6.653113,80.625363,1522.5,1522.5,761.8,163.4,3599.1,5.46
p021,Peak 592 m,7.443084,81.508147,592.5,592.5,592.5,103.9,3469.1,5.26
p012,Narangala,7.035606,81.010572,1565.7,1565.7,665.0,165.7,3402.5,5.16
p040,Dolukanda,7.612548,80.411609,623.8,623.8,493.1,106.5,3355.6,5.09
p015,Peak 881 m,7.193407,80.405434,880.8,880.8,620.1,125.6,3069.4,4.66
p026,Wadinagala Summit,7.099097,81.518181,667.8,667.8,547.1,110.0,2939.9,4.46
p041,Peak 2077 m,6.831099,80.684752,2076.9,2076.9,486.2,190.0,2920.0,4.43
p031,Peacock Hill,7.085289,80.632016,1499.4,1499.4,528.7,162.2,2719.4,4.13
p002,Peak 1376 m,6.436057,80.57661,1375.8,1375.8,1125.1,155.6,2633.7,4.0
p043,Peak 657 m,6.792797,81.341566,656.6,656.6,485.9,109.1,2626.8,3.99
p023,Peak 1518 m,7.165885,80.802301,1518.5,1518.5,557.8,163.2,2585.9,3.92
p027,Peak 685 m,7.416349,81.208891,685.4,685.4,544.7,111.4,2513.7,3.81
p039,Peak 826 m,6.251592,80.637412,825.5,825.5,494.8,121.7,2502.1,3.8
p018,Peak 942 m,6.968482,80.37249,941.6,941.6,610.9,129.7,2369.6,3.6
p038,Peak 756 m,7.263223,81.321759,756.0,756.0,495.3,116.7,2071.9,3.14
p016,Peak 926 m,6.600602,80.361674,926.1,926.1,615.4,128.6,1868.3,2.84
p035,Peak 682 m,6.663451,80.264213,682.2,682.2,511.5,111.1,1525.8,2.32
p006,Kiribathgala,6.612916,80.517394,944.7,944.7,794.0,129.9,1374.0,2.09
p029,Peak 540 m,6.81017,80.221176,539.6,539.6,539.6,99.4,1355.1,2.06
p013,Peak 660 m,6.331968,80.299527,659.7,659.7,659.7,109.4,1071.1,1.63
p036,Mountain Peak Kalubovitiyana,6.32826,80.410975,731.6,731.6,510.9,114.9,694.4,1.05
p044,Peak 478 m,6.275865,80.364106,478.1,478.1,478.1,93.9,369.5,0.56
